ticker,roe,der,pbv
BBCA.JK,22.972,,2.8332455
BBRI.JK,18.135998999999998,,1.3668251
BMRI.JK,21.040001999999998,,1.2627695
BBNI.JK,12.029,,0.88747615
TLKM.JK,16.052,49.763,2.2320187
ASII.JK,13.245000000000001,39.859,0.8821217
UNTR.JK,12.315,25.751,0.8696717
ADRO.JK,10.256,19.536,13529.412
PTBA.JK,14.413999,11.489,1.3895609
ITMG.JK,9.3839996,4.237,13391.278
UNVR.JK,74.291,9.027,14.937534
ICBP.JK,14.631,62.219,1.4685464
INDF.JK,13.319,61.085,0.775085
KLBF.JK,14.430000000000001,1.187,1.4805297
CPIN.JK,19.496,18.068,2.0008254
AMRT.JK,19.111,13.591,2.645726
PGAS.JK,10.091999999999999,29.053,16196.581
AKRA.JK,18.943001000000002,34.16,1.9917182
TOWR.JK,15.922,166.964,0.8416945
BRPT.JK,34.817,133.907,62200.0
TPIA.JK,42.368,117.023,44186.047
INKP.JK,6.929,68.492,6078.968
TKIM.JK,8.911,25.016,5907.173
SMGR.JK,0.438,21.137,0.2745428
INTP.JK,9.884,12.119,0.704129
ANTM.JK,24.687,21.609,1.8310566
TINS.JK,30.662,11.26,2.4084203
MDKA.JK,0.55299997,71.135,84999.99
HRUM.JK,3.585,33.731,11197.183
MEDC.JK,6.968000000000001,155.798,14101.123
INDY.JK,2.249,82.501,10260.869
EXCL.JK,-20.136999,209.04,1.689792
ISAT.JK,15.026,133.421,1.8422898
JSMR.JK,7.721,118.716,0.59291744
PTPP.JK,-82.073,464.341,0.41241485
ADHI.JK,-82.901,247.473,0.4983865
BSDE.JK,5.716,31.143,0.31737396
PWON.JK,11.0240005,20.976,0.62585735
CTRA.JK,10.2290004,28.661,0.49378994
SMRA.JK,7.928,87.736,0.40511695
ASSA.JK,18.826,128.721,1.0479815
BIRD.JK,10.444,35.953,0.6246791
GIAA.JK,,5399.223,
SMDR.JK,9.154,65.778,9212.121
TMAS.JK,18.056,55.75,2.2283492
SCMA.JK,11.3970004,0.234,2.215528
MNCN.JK,5.941,5.688,0.12598853
EMTK.JK,9.003,4.509,1.0862733
BUKA.JK,12.847,0.446,0.5177587
MIKA.JK,17.980999999999998,0.111,3.0277119
HEAL.JK,7.8340000000000005,48.057,2.6527402
SIDO.JK,32.823002,0.049,3.6503274
MYOR.JK,17.131001,26.627,2.1656196
ULTJ.JK,18.201,0.462,1.9922109
ROTI.JK,10.853,30.824,1.4856838
WOOD.JK,0.987,62.386,0.36141288
AVIA.JK,18.088,0.234,2.0519183
ACES.JK,12.577,15.234,0.88807213
ERAA.JK,15.758,98.549,0.61598045
LPPF.JK,76.869005,241.162,3.5109026
MAPI.JK,17.544999999999998,46.96,1.6994857
AMMN.JK,10.484,116.552,40921.055
BRIS.JK,16.150999,,1.7536129
BBTN.JK,10.541,,0.5114668
BJBR.JK,7.808,,0.47999626
BJTM.JK,10.316,,0.5681011
ARTO.JK,3.447,,1.7796913
BNGA.JK,11.977000499999999,,0.6879389
PNBN.JK,4.9750000000000005,,0.42035463
BDMN.JK,8.383001,,0.8674157
AGRO.JK,-15.855,,1.3724884
BBYB.JK,13.502,,0.8249392
BVIC.JK,3.174,,0.41738516
FILM.JK,-9.716,12.22,8.804078
RAAM.JK,-5.328,27.337,1.0426093
MTDL.JK,18.726000000000003,33.353,1.3609592
PTSN.JK,12.693999999999999,21.293,11250.0
BULL.JK,13.378,56.213,29384.615
ELSA.JK,13.618,9.986,0.8423203
WINS.JK,16.018,17.471,12500.0
MBMA.JK,4.279999999999999,40.244,31733.334
NCKL.JK,25.308000000000003,23.671,1.4900186
ABMM.JK,7.2620004,104.057,7523.2197
ADMR.JK,16.939,53.254,37750.0
DOID.JK,-76.149005,1096.966,16307.692
KKGI.JK,1.387,1.872,9225.807
RMKE.JK,13.317001000000001,53.577,6.4532666
CUAN.JK,25.985999999999997,240.953,168333.33
BREN.JK,20.444000000000003,221.044,528000.0
MBSS.JK,6.601,5.443,1.0853069
HAIS.JK,8.959,69.748,0.5931078
TPMA.JK,9.198,80.762,13405.405
LSIP.JK,13.819999999999999,0.001,0.61867046
AALI.JK,6.839000400000001,,0.52910584
TAPG.JK,30.756,8.742,2.6478126
DSNG.JK,16.868,32.12,1.0678836
SIMP.JK,11.061,34.109,0.4195288
BWPT.JK,14.29,162.425,0.9342241
TBLA.JK,9.885000400000001,187.438,0.41266993
JPFA.JK,27.828999999999997,37.268,1.6011304
MAIN.JK,15.940999999999999,59.262,0.61989236
WMUU.JK,-8.993,164.662,0.95249236
STAA.JK,26.590999999999998,21.432,1.61007
CLEO.JK,17.608999,17.606,3.9513679
PANI.JK,8.327,1.562,5.007069
DILD.JK,2.434,48.1,0.22023804
KIJA.JK,10.227,55.543,0.40507606
SSIA.JK,2.5090002,30.874,1.3737767
BEST.JK,0.677,26.102,0.2208581
ASRI.JK,2.6470000000000002,50.887,0.20250253
NZIA.JK,-2.8729999999999998,12.331,0.6565831
AUTO.JK,14.193,3.318,0.743484
DRMA.JK,23.509,9.028,1.5709844
SMSM.JK,27.406999999999996,3.671,2.6008236
GJTL.JK,12.292,48.59,0.39815667
