Date,Close,High,Low,Open,Volume,ticker
2026-04-27,386.0,390.0,378.0,386.0,25689700,ACES.JK
2026-04-28,368.0,388.0,366.0,386.0,48127900,ACES.JK
2026-04-29,368.0,378.0,364.0,368.0,32182000,ACES.JK
2026-04-30,358.0,372.0,352.0,368.0,51954800,ACES.JK
2026-05-04,372.0,380.0,358.0,366.0,49515300,ACES.JK
2026-05-05,386.0,386.0,372.0,372.0,45064100,ACES.JK
2026-05-06,386.0,392.0,382.0,386.0,34175300,ACES.JK
2026-05-07,396.0,396.0,382.0,388.0,39781100,ACES.JK
2026-05-08,380.0,398.0,380.0,398.0,43370600,ACES.JK
2026-05-11,380.0,390.0,378.0,382.0,31936700,ACES.JK
2026-05-12,374.0,386.0,372.0,382.0,21677100,ACES.JK
2026-05-13,370.0,374.0,368.0,374.0,17708500,ACES.JK
2026-05-14,370.0,370.0,370.0,370.0,0,ACES.JK
2026-05-15,370.0,370.0,370.0,370.0,0,ACES.JK
2026-05-18,354.0,370.0,348.0,370.0,80858000,ACES.JK
2026-05-19,346.0,358.0,344.0,356.0,38818500,ACES.JK
2026-05-20,352.0,356.0,342.0,344.0,35103900,ACES.JK
2026-05-21,344.0,358.0,342.0,358.0,30901700,ACES.JK
2026-05-22,348.0,352.0,340.0,344.0,25381800,ACES.JK
2026-05-25,350.0,354.0,344.0,350.0,23592100,ACES.JK
2026-05-26,346.0,352.0,344.0,352.0,32454100,ACES.JK
2026-05-27,346.0,346.0,346.0,346.0,0,ACES.JK
2026-05-28,346.0,346.0,346.0,346.0,0,ACES.JK
2026-05-29,348.0,350.0,344.0,346.0,14988600,ACES.JK
2026-06-02,348.0,352.0,344.0,348.0,27688800,ACES.JK
2026-06-03,348.0,352.0,340.0,352.0,40116300,ACES.JK
2026-06-04,338.0,348.0,332.0,348.0,39268200,ACES.JK
2026-06-05,330.0,348.0,330.0,338.0,28922200,ACES.JK
2026-06-08,320.0,328.0,316.0,326.0,22557000,ACES.JK
