Date,Close,High,Low,Open,Volume,ticker
2026-04-27,182.0,183.0,180.0,182.0,2286500,ADHI.JK
2026-04-28,181.0,185.0,180.0,185.0,5797000,ADHI.JK
2026-04-29,182.0,183.0,179.0,182.0,5712100,ADHI.JK
2026-04-30,212.0,244.0,208.0,244.0,178082200,ADHI.JK
2026-05-04,206.0,220.0,200.0,216.0,31343800,ADHI.JK
2026-05-05,204.0,208.0,200.0,206.0,10644800,ADHI.JK
2026-05-06,216.0,218.0,202.0,204.0,15799300,ADHI.JK
2026-05-07,212.0,220.0,210.0,218.0,11234500,ADHI.JK
2026-05-08,204.0,216.0,202.0,212.0,10823000,ADHI.JK
2026-05-11,200.0,204.0,198.0,204.0,6323800,ADHI.JK
2026-05-12,197.0,204.0,196.0,200.0,4697100,ADHI.JK
2026-05-13,196.0,199.0,195.0,199.0,3505300,ADHI.JK
2026-05-14,196.0,196.0,196.0,196.0,0,ADHI.JK
2026-05-15,196.0,196.0,196.0,196.0,0,ADHI.JK
2026-05-18,192.0,197.0,185.0,196.0,5771000,ADHI.JK
2026-05-19,181.0,194.0,179.0,194.0,7271000,ADHI.JK
2026-05-20,179.0,184.0,177.0,181.0,7321200,ADHI.JK
2026-05-21,175.0,181.0,172.0,179.0,6950300,ADHI.JK
2026-05-22,180.0,180.0,170.0,171.0,4877500,ADHI.JK
2026-05-25,180.0,183.0,180.0,182.0,2039800,ADHI.JK
2026-05-26,179.0,182.0,179.0,181.0,1386500,ADHI.JK
2026-05-27,179.0,179.0,179.0,179.0,0,ADHI.JK
2026-05-28,179.0,179.0,179.0,179.0,0,ADHI.JK
2026-05-29,168.0,179.0,168.0,179.0,21502800,ADHI.JK
2026-06-02,166.0,170.0,166.0,168.0,4845300,ADHI.JK
2026-06-03,156.0,168.0,154.0,168.0,8490100,ADHI.JK
2026-06-04,151.0,159.0,147.0,158.0,5660500,ADHI.JK
2026-06-05,144.0,152.0,143.0,151.0,3031900,ADHI.JK
2026-06-08,135.0,144.0,130.0,143.0,6920600,ADHI.JK
2026-06-09,145.0,145.0,133.0,135.0,6041300,ADHI.JK
2026-06-10,155.0,155.0,144.0,145.0,7559900,ADHI.JK
2026-06-11,150.0,155.0,147.0,155.0,3369700,ADHI.JK
2026-06-12,158.0,165.0,150.0,152.0,4910200,ADHI.JK
2026-06-15,167.0,170.0,159.0,159.0,6382100,ADHI.JK
2026-06-17,166.0,172.0,163.0,167.0,7500600,ADHI.JK
2026-06-18,162.0,170.0,160.0,167.0,5818200,ADHI.JK
