Date,Close,High,Low,Open,Volume,ticker
2026-04-27,1839.3800048828125,1868.5765128968253,1834.5139202138105,1849.1121742208168,92119100,ADMR.JK
2026-04-28,1845.0,1885.0,1840.0,1875.0,22469000,ADMR.JK
2026-04-29,1860.0,1905.0,1850.0,1850.0,29078600,ADMR.JK
2026-04-30,1850.0,1875.0,1780.0,1870.0,44570600,ADMR.JK
2026-05-04,1910.0,1990.0,1830.0,1870.0,74095100,ADMR.JK
2026-05-05,1880.0,1925.0,1855.0,1920.0,31328700,ADMR.JK
2026-05-06,1880.0,1900.0,1865.0,1880.0,20755900,ADMR.JK
2026-05-07,1870.0,1895.0,1845.0,1885.0,18433400,ADMR.JK
2026-05-08,1825.0,1880.0,1800.0,1880.0,29909500,ADMR.JK
2026-05-11,1785.0,1830.0,1715.0,1805.0,69303200,ADMR.JK
2026-05-12,1825.0,1865.0,1765.0,1785.0,30827200,ADMR.JK
2026-05-13,1775.0,1825.0,1770.0,1825.0,10882900,ADMR.JK
2026-05-14,1775.0,1775.0,1775.0,1775.0,0,ADMR.JK
2026-05-15,1775.0,1775.0,1775.0,1775.0,0,ADMR.JK
2026-05-18,1665.0,1770.0,1605.0,1770.0,56180800,ADMR.JK
2026-05-19,1530.0,1700.0,1450.0,1685.0,118628500,ADMR.JK
2026-05-20,1435.0,1520.0,1380.0,1520.0,108619700,ADMR.JK
2026-05-21,1355.0,1460.0,1320.0,1455.0,63249400,ADMR.JK
2026-05-22,1480.0,1490.0,1275.0,1340.0,46833800,ADMR.JK
2026-05-25,1550.0,1620.0,1485.0,1535.0,38980100,ADMR.JK
2026-05-26,1510.0,1560.0,1495.0,1560.0,15445900,ADMR.JK
2026-05-27,1510.0,1510.0,1510.0,1510.0,0,ADMR.JK
2026-05-28,1510.0,1510.0,1510.0,1510.0,0,ADMR.JK
2026-05-29,1530.0,1670.0,1525.0,1550.0,53493300,ADMR.JK
2026-06-02,1450.0,1545.0,1440.0,1530.0,42953000,ADMR.JK
2026-06-03,1305.0,1475.0,1290.0,1450.0,56728300,ADMR.JK
2026-06-04,1380.0,1425.0,1265.0,1305.0,48988500,ADMR.JK
2026-06-05,1400.0,1495.0,1365.0,1385.0,66963000,ADMR.JK
2026-06-08,1450.0,1480.0,1320.0,1360.0,56208800,ADMR.JK
2026-06-09,1585.0,1615.0,1375.0,1445.0,73525900,ADMR.JK
2026-06-10,1540.0,1645.0,1535.0,1645.0,45828500,ADMR.JK
2026-06-11,1465.0,1570.0,1435.0,1515.0,30318000,ADMR.JK
2026-06-12,1575.0,1640.0,1485.0,1495.0,43266800,ADMR.JK
2026-06-15,1660.0,1695.0,1580.0,1620.0,63998000,ADMR.JK
2026-06-17,1600.0,1685.0,1590.0,1660.0,23919800,ADMR.JK
2026-06-18,1600.0,1630.0,1575.0,1605.0,12155500,ADMR.JK
2026-06-19,1515.0,1605.0,1515.0,1605.0,77093200,ADMR.JK
2026-06-22,1555.0,1580.0,1515.0,1535.0,15021200,ADMR.JK
