Date,Close,High,Low,Open,Volume,ticker
2026-04-27,4120.0,4180.0,4060.0,4100.0,97987200,ANTM.JK
2026-04-28,4040.0,4290.0,3940.0,4120.0,171366200,ANTM.JK
2026-04-29,3880.0,4000.0,3880.0,4000.0,93317900,ANTM.JK
2026-04-30,3740.0,3910.0,3600.0,3900.0,212842500,ANTM.JK
2026-05-04,3800.0,3850.0,3740.0,3750.0,81668400,ANTM.JK
2026-05-05,3690.0,3760.0,3640.0,3760.0,111553900,ANTM.JK
2026-05-06,3800.0,3800.0,3720.0,3720.0,97302500,ANTM.JK
2026-05-07,3880.0,3950.0,3810.0,3900.0,147286400,ANTM.JK
2026-05-08,3630.0,3840.0,3630.0,3830.0,147682400,ANTM.JK
2026-05-11,3700.0,3810.0,3530.0,3630.0,182583700,ANTM.JK
2026-05-12,3570.0,3750.0,3510.0,3700.0,129829300,ANTM.JK
2026-05-13,3500.0,3610.0,3360.0,3420.0,183268100,ANTM.JK
2026-05-14,3500.0,3500.0,3500.0,3500.0,0,ANTM.JK
2026-05-15,3500.0,3500.0,3500.0,3500.0,0,ANTM.JK
2026-05-18,3160.0,3310.0,3040.0,3230.0,304786400,ANTM.JK
2026-05-19,3060.0,3230.0,2920.0,3230.0,328516700,ANTM.JK
2026-05-20,3100.0,3200.0,2940.0,3000.0,249846500,ANTM.JK
2026-05-21,2970.0,3170.0,2950.0,3160.0,161809600,ANTM.JK
2026-05-22,3090.0,3150.0,2910.0,2920.0,223541100,ANTM.JK
2026-05-25,3070.0,3140.0,2990.0,3130.0,151195300,ANTM.JK
2026-05-26,2960.0,3150.0,2960.0,3070.0,164671000,ANTM.JK
2026-05-27,2960.0,2960.0,2960.0,2960.0,0,ANTM.JK
2026-05-28,2960.0,2960.0,2960.0,2960.0,0,ANTM.JK
2026-05-29,2900.0,2990.0,2880.0,2960.0,401178500,ANTM.JK
2026-06-02,2960.0,3060.0,2900.0,2950.0,203427800,ANTM.JK
2026-06-03,2610.0,2980.0,2530.0,2960.0,438971300,ANTM.JK
2026-06-04,2760.0,2780.0,2450.0,2580.0,327693500,ANTM.JK
2026-06-05,2750.0,2910.0,2710.0,2850.0,263284100,ANTM.JK
2026-06-08,2630.0,2780.0,2520.0,2670.0,183021000,ANTM.JK
