Date,Close,High,Low,Open,Volume,ticker
2026-04-27,133.0,134.0,131.0,132.0,5798500,ASRI.JK
2026-04-28,137.0,139.0,130.0,133.0,22723800,ASRI.JK
2026-04-29,138.0,146.0,135.0,139.0,137471300,ASRI.JK
2026-04-30,133.0,140.0,130.0,139.0,41352700,ASRI.JK
2026-05-04,131.0,135.0,130.0,133.0,15834600,ASRI.JK
2026-05-05,131.0,133.0,128.0,131.0,9592900,ASRI.JK
2026-05-06,134.0,136.0,131.0,132.0,18239900,ASRI.JK
2026-05-07,135.0,137.0,134.0,136.0,11566300,ASRI.JK
2026-05-08,130.0,135.0,130.0,135.0,20551200,ASRI.JK
2026-05-11,129.0,130.0,126.0,130.0,13538200,ASRI.JK
2026-05-12,129.0,129.0,127.0,129.0,5438100,ASRI.JK
2026-05-13,125.0,129.0,125.0,128.0,13383900,ASRI.JK
2026-05-14,125.0,125.0,125.0,125.0,0,ASRI.JK
2026-05-15,125.0,125.0,125.0,125.0,0,ASRI.JK
2026-05-18,121.0,126.0,119.0,125.0,19803900,ASRI.JK
2026-05-19,118.0,123.0,116.0,121.0,16107700,ASRI.JK
2026-05-20,114.0,118.0,113.0,118.0,19771800,ASRI.JK
2026-05-21,112.0,118.0,107.0,118.0,40309200,ASRI.JK
2026-05-22,116.0,116.0,107.0,112.0,6261300,ASRI.JK
2026-05-25,119.0,121.0,116.0,116.0,9300600,ASRI.JK
2026-05-26,119.0,120.0,118.0,119.0,5787700,ASRI.JK
2026-05-27,119.0,119.0,119.0,119.0,0,ASRI.JK
2026-05-28,119.0,119.0,119.0,119.0,0,ASRI.JK
2026-05-29,116.0,120.0,116.0,118.0,2939100,ASRI.JK
2026-06-02,115.0,119.0,113.0,118.0,9055900,ASRI.JK
2026-06-03,109.0,117.0,105.0,115.0,27616900,ASRI.JK
2026-06-04,108.0,110.0,102.0,110.0,9655900,ASRI.JK
2026-06-05,102.0,107.0,101.0,107.0,19495500,ASRI.JK
2026-06-08,98.0,102.0,97.0,102.0,10270800,ASRI.JK
