Date,Close,High,Low,Open,Volume,ticker
2026-04-27,304.0,312.0,302.0,306.0,8968100,BBYB.JK
2026-04-28,306.0,310.0,300.0,308.0,12191600,BBYB.JK
2026-04-29,316.0,322.0,304.0,308.0,25965700,BBYB.JK
2026-04-30,306.0,320.0,302.0,318.0,19582500,BBYB.JK
2026-05-04,302.0,312.0,300.0,308.0,13422400,BBYB.JK
2026-05-05,302.0,308.0,296.0,302.0,13964100,BBYB.JK
2026-05-06,300.0,308.0,300.0,304.0,9911100,BBYB.JK
2026-05-07,322.0,324.0,300.0,306.0,44594200,BBYB.JK
2026-05-08,304.0,320.0,304.0,320.0,30234500,BBYB.JK
2026-05-11,306.0,310.0,296.0,304.0,17951600,BBYB.JK
2026-05-12,300.0,306.0,296.0,306.0,22195000,BBYB.JK
2026-05-13,298.0,306.0,292.0,292.0,9480200,BBYB.JK
2026-05-14,298.0,298.0,298.0,298.0,0,BBYB.JK
2026-05-15,298.0,298.0,298.0,298.0,0,BBYB.JK
2026-05-18,282.0,296.0,278.0,296.0,23811200,BBYB.JK
2026-05-19,278.0,294.0,274.0,282.0,25131900,BBYB.JK
2026-05-20,274.0,288.0,270.0,280.0,19990400,BBYB.JK
2026-05-21,256.0,280.0,252.0,274.0,25527900,BBYB.JK
2026-05-22,266.0,266.0,244.0,252.0,12690000,BBYB.JK
2026-05-25,276.0,282.0,266.0,266.0,15073300,BBYB.JK
2026-05-26,266.0,278.0,266.0,276.0,10021400,BBYB.JK
2026-05-27,266.0,266.0,266.0,266.0,0,BBYB.JK
2026-05-28,266.0,266.0,266.0,266.0,0,BBYB.JK
2026-05-29,260.0,274.0,260.0,266.0,11802500,BBYB.JK
2026-06-02,262.0,268.0,260.0,264.0,8402000,BBYB.JK
2026-06-03,240.0,264.0,238.0,260.0,22036600,BBYB.JK
2026-06-04,232.0,240.0,216.0,240.0,27983800,BBYB.JK
2026-06-05,214.0,238.0,212.0,238.0,14208300,BBYB.JK
2026-06-08,192.0,210.0,189.0,210.0,39616000,BBYB.JK
2026-06-09,218.0,218.0,189.0,190.0,40819200,BBYB.JK
2026-06-10,226.0,232.0,214.0,218.0,37315500,BBYB.JK
2026-06-11,226.0,234.0,218.0,226.0,15870600,BBYB.JK
2026-06-12,234.0,238.0,228.0,228.0,18277500,BBYB.JK
2026-06-15,244.0,252.0,236.0,238.0,19916000,BBYB.JK
2026-06-17,246.0,254.0,244.0,250.0,11946600,BBYB.JK
2026-06-18,240.0,246.0,236.0,244.0,11719700,BBYB.JK
2026-06-19,226.0,244.0,226.0,240.0,39768100,BBYB.JK
2026-06-22,226.0,232.0,222.0,230.0,13282400,BBYB.JK
2026-06-23,228.0,228.0,218.0,224.0,12068500,BBYB.JK
2026-06-24,212.0,232.0,212.0,228.0,14806600,BBYB.JK
2026-06-25,222.0,226.0,210.0,212.0,17382200,BBYB.JK
2026-06-26,212.0,222.0,206.0,220.0,14272200,BBYB.JK
2026-06-29,210.0,216.0,208.0,212.0,6061800,BBYB.JK
2026-06-30,206.0,210.0,202.0,210.0,13223900,BBYB.JK
2026-07-01,204.0,210.0,202.0,204.0,6513700,BBYB.JK
2026-07-02,212.0,214.0,206.0,206.0,10165600,BBYB.JK
2026-07-03,212.0,220.0,210.0,212.0,10652000,BBYB.JK
2026-07-06,214.0,216.0,208.0,214.0,10209800,BBYB.JK
2026-07-07,222.0,222.0,214.0,216.0,13849900,BBYB.JK
2026-07-08,212.0,220.0,212.0,220.0,9071000,BBYB.JK
2026-07-09,226.0,228.0,208.0,212.0,24103000,BBYB.JK
2026-07-10,218.0,224.0,216.0,222.0,10159400,BBYB.JK
2026-07-13,224.0,224.0,212.0,218.0,9585900,BBYB.JK
2026-07-14,224.0,230.0,222.0,226.0,13652800,BBYB.JK
2026-07-15,232.0,236.0,222.0,226.0,29257000,BBYB.JK
2026-07-16,234.0,238.0,228.0,234.0,19394200,BBYB.JK
2026-07-17,262.0,270.0,234.0,236.0,160637500,BBYB.JK
2026-07-20,256.0,266.0,254.0,258.0,47307900,BBYB.JK
2026-07-21,262.0,262.0,254.0,260.0,37104600,BBYB.JK
2026-07-22,262.0,268.0,254.0,264.0,33413400,BBYB.JK
2026-07-23,254.0,268.0,254.0,268.0,33567800,BBYB.JK
2026-07-24,244.0,252.0,240.0,252.0,28294800,BBYB.JK
2026-07-27,244.0,248.0,238.0,238.0,13189300,BBYB.JK
2026-07-28,238.0,246.0,238.0,244.0,13871800,BBYB.JK
2026-07-29,232.0,244.0,220.0,240.0,27567500,BBYB.JK
2026-07-30,244.0,244.0,232.0,232.0,21135700,BBYB.JK
2026-07-31,264.0,264.0,244.0,248.0,32801000,BBYB.JK
2026-08-03,252.0,264.0,250.0,264.0,30640400,BBYB.JK
2026-08-04,260.0,266.0,254.0,254.0,36285300,BBYB.JK
