Date,Close,High,Low,Open,Volume,ticker
2026-04-27,4660.0,4850.0,4630.0,4630.0,10239200,BREN.JK
2026-04-28,4650.0,4790.0,4510.0,4740.0,9734000,BREN.JK
2026-04-29,4730.0,4730.0,4610.0,4680.0,5482300,BREN.JK
2026-04-30,4460.0,4880.0,4360.0,4730.0,15291500,BREN.JK
2026-05-04,4600.0,4750.0,4430.0,4470.0,8043000,BREN.JK
2026-05-05,4730.0,4840.0,4470.0,4600.0,17771000,BREN.JK
2026-05-06,4820.0,4830.0,4620.0,4770.0,18716700,BREN.JK
2026-05-07,4650.0,5125.0,4520.0,4840.0,29886300,BREN.JK
2026-05-08,4100.0,4600.0,4100.0,4560.0,27905000,BREN.JK
2026-05-11,3790.0,4160.0,3780.0,4110.0,23224000,BREN.JK
2026-05-12,3610.0,3910.0,3560.0,3790.0,22944400,BREN.JK
2026-05-13,3200.0,3490.0,3200.0,3430.0,80031300,BREN.JK
2026-05-14,3200.0,3200.0,3200.0,3200.0,0,BREN.JK
2026-05-15,3200.0,3200.0,3200.0,3200.0,0,BREN.JK
2026-05-18,3190.0,3410.0,2880.0,2970.0,139364900,BREN.JK
2026-05-19,3020.0,3250.0,2900.0,3190.0,103461200,BREN.JK
2026-05-20,2790.0,3000.0,2630.0,2930.0,62100900,BREN.JK
2026-05-21,2570.0,2740.0,2410.0,2600.0,50892700,BREN.JK
2026-05-22,2450.0,2660.0,2400.0,2600.0,110164800,BREN.JK
2026-05-25,2380.0,2530.0,2300.0,2450.0,98632800,BREN.JK
2026-05-26,2640.0,2810.0,2300.0,2340.0,211822800,BREN.JK
2026-05-27,2640.0,2640.0,2640.0,2640.0,0,BREN.JK
2026-05-28,2640.0,2640.0,2640.0,2640.0,0,BREN.JK
2026-05-29,3300.0,3300.0,3300.0,3300.0,682231400,BREN.JK
2026-06-02,4120.0,4120.0,3630.0,4120.0,298798900,BREN.JK
2026-06-03,4160.0,4220.0,3770.0,4120.0,119643500,BREN.JK
2026-06-04,4000.0,4180.0,3670.0,4150.0,97352700,BREN.JK
2026-06-05,3590.0,4100.0,3430.0,4010.0,67120200,BREN.JK
2026-06-08,3590.0,3590.0,3250.0,3480.0,40689100,BREN.JK
2026-06-09,4090.0,4150.0,3400.0,3600.0,109096100,BREN.JK
2026-06-10,4220.0,4330.0,3930.0,4090.0,75350800,BREN.JK
2026-06-11,4040.0,4230.0,3870.0,4220.0,39206100,BREN.JK
2026-06-12,4080.0,4270.0,4060.0,4070.0,51411300,BREN.JK
2026-06-15,4250.0,4460.0,4130.0,4130.0,55137300,BREN.JK
2026-06-17,3740.0,4280.0,3700.0,4250.0,89958300,BREN.JK
2026-06-18,3820.0,3970.0,3730.0,3780.0,36116600,BREN.JK
2026-06-19,3730.0,3850.0,3730.0,3750.0,14252500,BREN.JK
2026-06-22,3670.0,3800.0,3590.0,3770.0,18146600,BREN.JK
2026-06-23,3690.0,3810.0,3610.0,3670.0,46826000,BREN.JK
2026-06-24,3600.0,3840.0,3530.0,3730.0,69413500,BREN.JK
