Date,Close,High,Low,Open,Volume,ticker
2026-04-27,535.0,565.0,520.0,540.0,334087900,BULL.JK
2026-04-28,535.0,545.0,498.0,540.0,345875500,BULL.JK
2026-04-29,535.0,545.0,525.0,535.0,122786800,BULL.JK
2026-04-30,510.0,540.0,494.0,530.0,293437100,BULL.JK
2026-05-04,505.0,535.0,500.0,525.0,158543600,BULL.JK
2026-05-05,510.0,510.0,474.0,500.0,380451100,BULL.JK
2026-05-06,515.0,545.0,500.0,515.0,514597700,BULL.JK
2026-05-07,496.0,525.0,490.0,520.0,385413000,BULL.JK
2026-05-08,472.0,496.0,466.0,486.0,274451700,BULL.JK
2026-05-11,460.0,482.0,450.0,466.0,249890600,BULL.JK
2026-05-12,444.0,468.0,426.0,466.0,234806200,BULL.JK
2026-05-13,468.0,480.0,434.0,440.0,305529800,BULL.JK
2026-05-14,468.0,468.0,468.0,468.0,0,BULL.JK
2026-05-15,468.0,468.0,468.0,468.0,0,BULL.JK
2026-05-18,438.0,458.0,410.0,454.0,421949600,BULL.JK
2026-05-19,402.0,442.0,380.0,440.0,337672500,BULL.JK
2026-05-20,408.0,414.0,378.0,400.0,286761200,BULL.JK
2026-05-21,366.0,414.0,358.0,414.0,255714400,BULL.JK
2026-05-22,414.0,414.0,344.0,350.0,249852700,BULL.JK
2026-05-25,408.0,428.0,396.0,426.0,226441300,BULL.JK
2026-05-26,382.0,420.0,380.0,410.0,206333300,BULL.JK
