Date,Close,High,Low,Open,Volume,ticker
2026-04-27,133.0,134.0,127.0,127.0,79206200,BWPT.JK
2026-04-28,133.0,135.0,129.0,133.0,51323500,BWPT.JK
2026-04-29,135.0,137.0,131.0,133.0,123299400,BWPT.JK
2026-04-30,134.0,137.0,131.0,134.0,134899600,BWPT.JK
2026-05-04,133.0,138.0,133.0,137.0,78973700,BWPT.JK
2026-05-05,135.0,136.0,131.0,134.0,83351400,BWPT.JK
2026-05-06,134.0,136.0,133.0,136.0,49368800,BWPT.JK
2026-05-07,130.0,135.0,129.0,134.0,76407100,BWPT.JK
2026-05-08,122.0,130.0,121.0,130.0,95553700,BWPT.JK
2026-05-11,120.0,123.0,117.0,122.0,65026900,BWPT.JK
2026-05-12,119.0,121.0,117.0,120.0,31852100,BWPT.JK
2026-05-13,117.0,120.0,115.0,118.0,22375900,BWPT.JK
2026-05-14,117.0,117.0,117.0,117.0,0,BWPT.JK
2026-05-15,117.0,117.0,117.0,117.0,0,BWPT.JK
2026-05-18,111.0,118.0,107.0,117.0,65133300,BWPT.JK
2026-05-19,95.0,114.0,95.0,111.0,162762300,BWPT.JK
2026-05-20,95.0,101.0,90.0,94.0,242511600,BWPT.JK
2026-05-21,84.0,97.0,84.0,95.0,137827000,BWPT.JK
2026-05-22,87.0,90.0,80.0,85.0,88514100,BWPT.JK
2026-05-25,89.0,93.0,84.0,87.0,52004700,BWPT.JK
2026-05-26,86.0,94.0,86.0,90.0,53356900,BWPT.JK
