Date,Close,High,Low,Open,Volume,ticker
2026-04-27,392.0,394.0,388.0,392.0,3477900,CLEO.JK
2026-04-28,392.0,396.0,390.0,392.0,1958600,CLEO.JK
2026-04-29,390.0,394.0,388.0,392.0,2427100,CLEO.JK
2026-04-30,390.0,392.0,388.0,392.0,2829000,CLEO.JK
2026-05-04,394.0,402.0,390.0,392.0,2426200,CLEO.JK
2026-05-05,398.0,400.0,390.0,394.0,2230500,CLEO.JK
2026-05-06,400.0,400.0,394.0,394.0,1597500,CLEO.JK
2026-05-07,412.0,416.0,400.0,400.0,10954900,CLEO.JK
2026-05-08,402.0,416.0,402.0,416.0,6537200,CLEO.JK
2026-05-11,398.0,408.0,394.0,404.0,5494600,CLEO.JK
2026-05-12,400.0,402.0,398.0,400.0,1928900,CLEO.JK
2026-05-13,398.0,402.0,398.0,400.0,1826000,CLEO.JK
2026-05-14,398.0,398.0,398.0,398.0,0,CLEO.JK
2026-05-15,398.0,398.0,398.0,398.0,0,CLEO.JK
2026-05-18,394.0,398.0,388.0,398.0,3717200,CLEO.JK
2026-05-19,394.0,402.0,392.0,396.0,3367100,CLEO.JK
2026-05-20,392.0,400.0,390.0,394.0,3720100,CLEO.JK
2026-05-21,386.0,392.0,386.0,392.0,6433200,CLEO.JK
2026-05-22,392.0,392.0,376.0,386.0,8693800,CLEO.JK
2026-05-25,390.0,396.0,388.0,392.0,1007800,CLEO.JK
2026-05-26,390.0,396.0,388.0,390.0,1788100,CLEO.JK
2026-05-27,390.0,390.0,390.0,390.0,0,CLEO.JK
2026-05-28,390.0,390.0,390.0,390.0,0,CLEO.JK
2026-05-29,388.0,394.0,386.0,390.0,5889100,CLEO.JK
2026-06-02,390.0,396.0,386.0,396.0,5417800,CLEO.JK
2026-06-03,382.0,390.0,380.0,390.0,5139400,CLEO.JK
2026-06-04,368.0,382.0,356.0,382.0,11069200,CLEO.JK
2026-06-05,358.0,372.0,358.0,368.0,5576600,CLEO.JK
2026-06-08,336.0,358.0,328.0,358.0,8113400,CLEO.JK
