Date,Close,High,Low,Open,Volume,ticker
2026-04-27,1315.0,1360.0,1290.0,1330.0,311711000,CUAN.JK
2026-04-28,1285.0,1340.0,1280.0,1330.0,446759200,CUAN.JK
2026-04-29,1300.0,1320.0,1255.0,1285.0,448364000,CUAN.JK
2026-04-30,1200.0,1290.0,1190.0,1285.0,385324800,CUAN.JK
2026-05-04,1160.0,1245.0,1155.0,1210.0,500314900,CUAN.JK
2026-05-05,1300.0,1300.0,1140.0,1165.0,380337500,CUAN.JK
2026-05-06,1240.0,1305.0,1230.0,1300.0,315358600,CUAN.JK
2026-05-07,1190.0,1290.0,1185.0,1270.0,178341000,CUAN.JK
2026-05-08,1120.0,1200.0,1115.0,1190.0,127785200,CUAN.JK
2026-05-11,1030.0,1130.0,1010.0,1115.0,195387100,CUAN.JK
2026-05-12,945.0,1070.0,920.0,1030.0,498891100,CUAN.JK
2026-05-13,850.0,885.0,825.0,825.0,540831200,CUAN.JK
2026-05-14,850.0,850.0,850.0,850.0,0,CUAN.JK
2026-05-15,850.0,850.0,850.0,850.0,0,CUAN.JK
2026-05-18,750.0,810.0,725.0,805.0,666710600,CUAN.JK
2026-05-19,650.0,775.0,640.0,770.0,607248400,CUAN.JK
2026-05-20,590.0,670.0,575.0,645.0,586115800,CUAN.JK
2026-05-21,535.0,600.0,510.0,590.0,316088300,CUAN.JK
2026-05-22,515.0,520.0,468.0,492.0,725206200,CUAN.JK
2026-05-25,486.0,510.0,464.0,500.0,496509700,CUAN.JK
2026-05-26,505.0,595.0,478.0,482.0,871026600,CUAN.JK
2026-05-27,505.0,505.0,505.0,505.0,0,CUAN.JK
2026-05-28,505.0,505.0,505.0,505.0,0,CUAN.JK
2026-05-29,630.0,630.0,625.0,630.0,1884779200,CUAN.JK
2026-06-02,785.0,785.0,715.0,750.0,515638400,CUAN.JK
2026-06-03,725.0,855.0,670.0,855.0,1397838200,CUAN.JK
2026-06-04,725.0,770.0,640.0,720.0,1011159000,CUAN.JK
2026-06-05,675.0,765.0,660.0,750.0,646650900,CUAN.JK
2026-06-08,640.0,685.0,600.0,650.0,484999700,CUAN.JK
2026-06-09,775.0,780.0,610.0,640.0,1256978600,CUAN.JK
2026-06-10,730.0,835.0,715.0,765.0,1360172500,CUAN.JK
2026-06-11,665.0,745.0,645.0,715.0,780465500,CUAN.JK
2026-06-12,720.0,735.0,665.0,685.0,690438500,CUAN.JK
2026-06-15,745.0,810.0,725.0,755.0,1191910200,CUAN.JK
2026-06-17,695.0,765.0,690.0,755.0,436703400,CUAN.JK
2026-06-18,710.0,715.0,665.0,695.0,350712700,CUAN.JK
2026-06-19,680.0,720.0,675.0,710.0,313674000,CUAN.JK
2026-06-22,655.0,695.0,640.0,690.0,233881300,CUAN.JK
2026-06-23,685.0,690.0,645.0,655.0,222694700,CUAN.JK
2026-06-24,610.0,690.0,605.0,685.0,323707600,CUAN.JK
2026-06-25,625.0,655.0,595.0,610.0,219314500,CUAN.JK
2026-06-26,565.0,630.0,555.0,625.0,358690900,CUAN.JK
2026-06-29,570.0,590.0,560.0,570.0,195970100,CUAN.JK
2026-06-30,530.0,575.0,525.0,575.0,196974600,CUAN.JK
2026-07-01,620.0,630.0,525.0,530.0,426419600,CUAN.JK
2026-07-02,615.0,650.0,595.0,610.0,461948300,CUAN.JK
2026-07-03,610.0,645.0,605.0,625.0,179242700,CUAN.JK
