Date,Close,High,Low,Open,Volume,ticker
2026-04-27,252.0,258.0,248.0,248.0,6203400,DOID.JK
2026-04-28,252.0,256.0,246.0,252.0,4101500,DOID.JK
2026-04-29,254.0,256.0,250.0,254.0,1568700,DOID.JK
2026-04-30,252.0,258.0,246.0,258.0,4331100,DOID.JK
2026-05-04,242.0,254.0,236.0,252.0,8488800,DOID.JK
2026-05-05,240.0,250.0,236.0,242.0,5865800,DOID.JK
2026-05-06,246.0,246.0,240.0,240.0,2212700,DOID.JK
2026-05-07,242.0,248.0,242.0,248.0,2876800,DOID.JK
2026-05-08,236.0,242.0,234.0,242.0,5423800,DOID.JK
2026-05-11,236.0,240.0,230.0,238.0,5524500,DOID.JK
2026-05-12,232.0,236.0,230.0,236.0,1955600,DOID.JK
2026-05-13,232.0,236.0,230.0,232.0,2603000,DOID.JK
2026-05-14,232.0,232.0,232.0,232.0,0,DOID.JK
2026-05-15,232.0,232.0,232.0,232.0,0,DOID.JK
2026-05-18,226.0,236.0,220.0,232.0,5465500,DOID.JK
2026-05-19,218.0,236.0,216.0,228.0,10980600,DOID.JK
2026-05-20,214.0,228.0,210.0,218.0,7637600,DOID.JK
2026-05-21,200.0,214.0,200.0,212.0,8356600,DOID.JK
2026-05-22,210.0,212.0,195.0,200.0,2445100,DOID.JK
2026-05-25,206.0,214.0,206.0,212.0,1348800,DOID.JK
2026-05-26,212.0,216.0,206.0,206.0,3181500,DOID.JK
2026-05-27,212.0,212.0,212.0,212.0,0,DOID.JK
2026-05-28,212.0,212.0,212.0,212.0,0,DOID.JK
2026-05-29,208.0,216.0,206.0,216.0,4766300,DOID.JK
2026-06-02,208.0,214.0,204.0,208.0,1995800,DOID.JK
2026-06-03,202.0,208.0,190.0,208.0,9818200,DOID.JK
2026-06-04,200.0,202.0,191.0,200.0,1480700,DOID.JK
2026-06-05,196.0,202.0,190.0,200.0,4533500,DOID.JK
2026-06-08,191.0,195.0,190.0,195.0,3713000,DOID.JK
2026-06-09,194.0,195.0,190.0,190.0,5263000,DOID.JK
2026-06-10,199.0,204.0,194.0,194.0,5296100,DOID.JK
2026-06-11,195.0,202.0,193.0,200.0,2879100,DOID.JK
2026-06-12,206.0,208.0,195.0,195.0,7962300,DOID.JK
2026-06-15,206.0,210.0,202.0,206.0,4533300,DOID.JK
2026-06-17,206.0,208.0,200.0,208.0,2127800,DOID.JK
2026-06-18,202.0,206.0,199.0,206.0,1611700,DOID.JK
2026-06-19,204.0,204.0,197.0,202.0,3248500,DOID.JK
2026-06-22,210.0,210.0,202.0,204.0,2658200,DOID.JK
2026-06-23,206.0,214.0,202.0,210.0,1742300,DOID.JK
2026-06-24,204.0,212.0,200.0,212.0,2152000,DOID.JK
2026-06-25,204.0,206.0,200.0,206.0,1675600,DOID.JK
2026-06-26,202.0,206.0,198.0,200.0,2764400,DOID.JK
2026-06-29,202.0,206.0,198.0,204.0,2955000,DOID.JK
2026-06-30,200.0,202.0,190.0,202.0,2804800,DOID.JK
2026-07-01,196.0,200.0,192.0,200.0,538400,DOID.JK
2026-07-02,195.0,198.0,190.0,196.0,1127200,DOID.JK
2026-07-03,190.0,198.0,190.0,196.0,4404600,DOID.JK
2026-07-06,194.0,195.0,190.0,190.0,5060800,DOID.JK
2026-07-07,199.0,204.0,190.0,190.0,2741600,DOID.JK
2026-07-08,194.0,200.0,194.0,200.0,1108300,DOID.JK
2026-07-09,196.0,199.0,193.0,194.0,724300,DOID.JK
2026-07-10,197.0,198.0,195.0,196.0,900900,DOID.JK
2026-07-13,198.0,199.0,196.0,197.0,918600,DOID.JK
2026-07-14,204.0,206.0,199.0,200.0,2032800,DOID.JK
2026-07-15,210.0,214.0,204.0,204.0,3216000,DOID.JK
2026-07-16,210.0,212.0,206.0,212.0,1545500,DOID.JK
2026-07-17,208.0,212.0,206.0,210.0,1386400,DOID.JK
2026-07-20,210.0,212.0,208.0,208.0,801400,DOID.JK
2026-07-21,224.0,224.0,210.0,210.0,6799100,DOID.JK
2026-07-22,226.0,230.0,218.0,226.0,3668000,DOID.JK
2026-07-23,232.0,238.0,222.0,224.0,5082400,DOID.JK
2026-07-24,224.0,230.0,222.0,230.0,3984200,DOID.JK
2026-07-27,218.0,224.0,214.0,224.0,1428000,DOID.JK
2026-07-28,220.0,222.0,216.0,220.0,936500,DOID.JK
2026-07-29,210.0,220.0,200.0,220.0,2401400,DOID.JK
2026-07-30,214.0,214.0,210.0,212.0,664100,DOID.JK
2026-07-31,218.0,222.0,212.0,214.0,972100,DOID.JK
2026-08-03,212.0,216.0,208.0,214.0,2044800,DOID.JK
2026-08-04,214.0,216.0,212.0,214.0,754000,DOID.JK
2026-08-05,218.0,218.0,214.0,214.0,3234400,DOID.JK
2026-08-06,216.0,220.0,214.0,216.0,1968500,DOID.JK
2026-08-07,218.0,220.0,212.0,220.0,1285200,DOID.JK
