Date,Close,High,Low,Open,Volume,ticker
2026-04-27,980.0,984.6666666666666,961.3333333333334,970.6666666666666,13174100,DRMA.JK
2026-04-28,990.0,995.0,975.0,985.0,3394500,DRMA.JK
2026-04-29,990.0,1000.0,960.0,980.0,4320100,DRMA.JK
2026-04-30,980.0,990.0,960.0,990.0,1716900,DRMA.JK
2026-05-04,1010.0,1010.0,965.0,980.0,1388300,DRMA.JK
2026-05-05,990.0,1000.0,970.0,1000.0,3137700,DRMA.JK
2026-05-06,985.0,990.0,975.0,990.0,1073400,DRMA.JK
2026-05-07,985.0,1005.0,985.0,1005.0,296200,DRMA.JK
2026-05-08,985.0,990.0,980.0,985.0,299000,DRMA.JK
2026-05-11,980.0,990.0,975.0,985.0,1088900,DRMA.JK
2026-05-12,990.0,995.0,980.0,995.0,281800,DRMA.JK
2026-05-13,990.0,995.0,980.0,990.0,1620000,DRMA.JK
2026-05-14,990.0,990.0,990.0,990.0,0,DRMA.JK
2026-05-15,990.0,990.0,990.0,990.0,0,DRMA.JK
2026-05-18,1010.0,1010.0,980.0,1000.0,1743900,DRMA.JK
2026-05-19,1000.0,1025.0,980.0,1010.0,1554500,DRMA.JK
2026-05-20,990.0,1005.0,980.0,1005.0,2895900,DRMA.JK
2026-05-21,980.0,1000.0,975.0,990.0,839200,DRMA.JK
2026-05-22,985.0,990.0,980.0,985.0,251700,DRMA.JK
2026-05-25,970.0,995.0,970.0,975.0,1660300,DRMA.JK
2026-05-26,975.0,980.0,970.0,970.0,335400,DRMA.JK
2026-05-27,975.0,975.0,975.0,975.0,0,DRMA.JK
2026-05-28,975.0,975.0,975.0,975.0,0,DRMA.JK
2026-05-29,975.0,980.0,960.0,975.0,5005400,DRMA.JK
2026-06-02,975.0,985.0,970.0,980.0,1659700,DRMA.JK
2026-06-03,980.0,980.0,965.0,975.0,2407500,DRMA.JK
2026-06-04,980.0,980.0,955.0,975.0,1586500,DRMA.JK
2026-06-05,975.0,980.0,960.0,980.0,1699800,DRMA.JK
2026-06-08,895.0,970.0,875.0,965.0,2382400,DRMA.JK
2026-06-09,920.0,930.0,885.0,895.0,591200,DRMA.JK
2026-06-10,940.0,960.0,915.0,920.0,619400,DRMA.JK
2026-06-11,935.0,965.0,930.0,940.0,218500,DRMA.JK
2026-06-12,940.0,960.0,930.0,940.0,413000,DRMA.JK
2026-06-15,940.0,965.0,935.0,950.0,489500,DRMA.JK
2026-06-17,930.0,940.0,925.0,940.0,4801000,DRMA.JK
2026-06-18,940.0,940.0,930.0,940.0,189100,DRMA.JK
2026-06-19,935.0,940.0,930.0,935.0,9028000,DRMA.JK
2026-06-22,930.0,935.0,925.0,935.0,591800,DRMA.JK
2026-06-23,910.0,930.0,890.0,930.0,7258400,DRMA.JK
2026-06-24,915.0,915.0,890.0,910.0,1021900,DRMA.JK
2026-06-25,900.0,910.0,895.0,910.0,429100,DRMA.JK
2026-06-26,890.0,900.0,885.0,900.0,558200,DRMA.JK
2026-06-29,835.0,890.0,815.0,890.0,3769100,DRMA.JK
2026-06-30,890.0,900.0,825.0,850.0,1214200,DRMA.JK
2026-07-01,885.0,890.0,865.0,890.0,220000,DRMA.JK
2026-07-02,895.0,900.0,875.0,885.0,201000,DRMA.JK
2026-07-03,890.0,900.0,885.0,890.0,80600,DRMA.JK
2026-07-06,885.0,900.0,875.0,890.0,238100,DRMA.JK
2026-07-07,900.0,900.0,880.0,885.0,89700,DRMA.JK
2026-07-08,900.0,910.0,870.0,905.0,1604100,DRMA.JK
2026-07-09,900.0,905.0,890.0,900.0,648400,DRMA.JK
2026-07-10,900.0,915.0,890.0,905.0,312900,DRMA.JK
2026-07-13,900.0,905.0,895.0,900.0,134100,DRMA.JK
2026-07-14,925.0,925.0,895.0,900.0,582800,DRMA.JK
2026-07-15,930.0,935.0,900.0,930.0,825700,DRMA.JK
2026-07-16,930.0,935.0,910.0,935.0,289200,DRMA.JK
2026-07-17,920.0,930.0,915.0,930.0,138800,DRMA.JK
2026-07-20,900.0,925.0,890.0,925.0,2355200,DRMA.JK
