Date,Close,High,Low,Open,Volume,ticker
2026-04-27,2280.0,2390.0,2130.0,2130.0,1437400,FILM.JK
2026-04-28,2200.0,2330.0,2170.0,2300.0,1629100,FILM.JK
2026-04-29,2200.0,2250.0,2170.0,2220.0,965600,FILM.JK
2026-04-30,2380.0,2460.0,2210.0,2250.0,4358600,FILM.JK
2026-05-04,2950.0,2970.0,2450.0,2470.0,29293800,FILM.JK
2026-05-05,2770.0,3040.0,2680.0,2740.0,16633300,FILM.JK
2026-05-06,2730.0,2820.0,2710.0,2780.0,3111700,FILM.JK
2026-05-07,2640.0,2780.0,2550.0,2780.0,4701600,FILM.JK
2026-05-08,2420.0,2640.0,2390.0,2640.0,3326000,FILM.JK
2026-05-11,2400.0,2510.0,2290.0,2350.0,1748000,FILM.JK
2026-05-12,2400.0,2420.0,2260.0,2400.0,1791500,FILM.JK
2026-05-13,2310.0,2440.0,2310.0,2390.0,970400,FILM.JK
2026-05-14,2310.0,2310.0,2310.0,2310.0,0,FILM.JK
2026-05-15,2310.0,2310.0,2310.0,2310.0,0,FILM.JK
2026-05-18,2170.0,2310.0,2100.0,2310.0,1645000,FILM.JK
2026-05-19,2240.0,2470.0,2100.0,2170.0,3946700,FILM.JK
2026-05-20,2250.0,2290.0,2100.0,2290.0,2944100,FILM.JK
2026-05-21,1915.0,2300.0,1915.0,2250.0,4138400,FILM.JK
2026-05-22,2060.0,2080.0,1805.0,1910.0,2336800,FILM.JK
2026-05-25,2520.0,2560.0,2150.0,2150.0,8779400,FILM.JK
2026-05-26,2520.0,2640.0,2430.0,2540.0,5838200,FILM.JK
2026-05-27,2520.0,2520.0,2520.0,2520.0,0,FILM.JK
2026-05-28,2520.0,2520.0,2520.0,2520.0,0,FILM.JK
2026-05-29,2150.0,2580.0,2150.0,2560.0,10412100,FILM.JK
2026-06-02,2170.0,2350.0,2130.0,2260.0,5501800,FILM.JK
2026-06-03,1975.0,2280.0,1935.0,2200.0,4068800,FILM.JK
2026-06-04,1940.0,2070.0,1830.0,1975.0,3232700,FILM.JK
2026-06-05,1780.0,1980.0,1765.0,1900.0,2910900,FILM.JK
2026-06-08,1515.0,1675.0,1515.0,1675.0,8689100,FILM.JK
2026-06-09,1710.0,1710.0,1415.0,1500.0,7922800,FILM.JK
2026-06-10,1670.0,1740.0,1610.0,1720.0,5573600,FILM.JK
2026-06-11,1775.0,1940.0,1655.0,1670.0,10814600,FILM.JK
2026-06-12,1780.0,1825.0,1750.0,1785.0,3696900,FILM.JK
2026-06-15,1800.0,1890.0,1780.0,1800.0,3686500,FILM.JK
2026-06-17,1780.0,1845.0,1735.0,1800.0,2230000,FILM.JK
2026-06-18,1720.0,1780.0,1675.0,1780.0,1267700,FILM.JK
2026-06-19,1690.0,1760.0,1685.0,1735.0,1630800,FILM.JK
2026-06-22,1610.0,1720.0,1590.0,1700.0,1704800,FILM.JK
2026-06-23,1735.0,1735.0,1600.0,1600.0,3045300,FILM.JK
2026-06-24,1560.0,1780.0,1560.0,1745.0,2973800,FILM.JK
2026-06-25,1780.0,1845.0,1560.0,1595.0,6663100,FILM.JK
2026-06-26,1650.0,1790.0,1630.0,1785.0,2632700,FILM.JK
2026-06-29,1610.0,1690.0,1610.0,1655.0,948800,FILM.JK
2026-06-30,1555.0,1650.0,1555.0,1650.0,2186100,FILM.JK
2026-07-01,1605.0,1645.0,1550.0,1560.0,7047800,FILM.JK
2026-07-02,1630.0,1730.0,1580.0,1610.0,8754900,FILM.JK
2026-07-03,1660.0,1690.0,1630.0,1630.0,1562900,FILM.JK
2026-07-06,1690.0,1730.0,1650.0,1655.0,1791900,FILM.JK
2026-07-07,1740.0,1750.0,1685.0,1705.0,2686600,FILM.JK
2026-07-08,1630.0,1740.0,1630.0,1740.0,1571700,FILM.JK
2026-07-09,1595.0,1645.0,1585.0,1605.0,1578500,FILM.JK
2026-07-10,1605.0,1635.0,1590.0,1630.0,1099700,FILM.JK
2026-07-13,1625.0,1645.0,1595.0,1645.0,1047300,FILM.JK
2026-07-14,1655.0,1675.0,1610.0,1650.0,1993300,FILM.JK
2026-07-15,1570.0,1635.0,1565.0,1625.0,6833000,FILM.JK
2026-07-16,1555.0,1590.0,1555.0,1580.0,2139500,FILM.JK
2026-07-17,1505.0,1570.0,1495.0,1565.0,3217000,FILM.JK
2026-07-20,1450.0,1540.0,1445.0,1510.0,3849800,FILM.JK
2026-07-21,1315.0,1455.0,1305.0,1455.0,17943100,FILM.JK
2026-07-22,1195.0,1345.0,1140.0,1315.0,23111200,FILM.JK
2026-07-23,1200.0,1280.0,1200.0,1235.0,20019900,FILM.JK
2026-07-24,1060.0,1205.0,1055.0,1200.0,15739200,FILM.JK
2026-07-27,1040.0,1175.0,980.0,1065.0,23173700,FILM.JK
2026-07-28,1005.0,1055.0,1005.0,1040.0,9204600,FILM.JK
2026-07-29,1045.0,1070.0,975.0,1005.0,12009600,FILM.JK
2026-07-30,1090.0,1105.0,1025.0,1055.0,9320000,FILM.JK
2026-07-31,1060.0,1100.0,1045.0,1100.0,8025300,FILM.JK
