Date,Close,High,Low,Open,Volume,ticker
2026-04-27,185.0,190.0,183.0,185.0,52815800,KIJA.JK
2026-04-28,186.0,189.0,182.0,185.0,75047000,KIJA.JK
2026-04-29,187.0,190.0,184.0,188.0,82168600,KIJA.JK
2026-04-30,180.0,189.0,177.0,188.0,79486200,KIJA.JK
2026-05-04,179.0,183.0,177.0,181.0,48174100,KIJA.JK
2026-05-05,178.0,180.0,176.0,180.0,37507300,KIJA.JK
2026-05-06,180.0,182.0,177.0,180.0,53472300,KIJA.JK
2026-05-07,183.0,184.0,180.0,181.0,76530400,KIJA.JK
2026-05-08,180.0,183.0,177.0,183.0,50751000,KIJA.JK
2026-05-11,175.0,181.0,172.0,180.0,68820700,KIJA.JK
2026-05-12,174.0,176.0,171.0,175.0,46347200,KIJA.JK
2026-05-13,174.0,174.0,170.0,174.0,53488500,KIJA.JK
2026-05-14,174.0,174.0,174.0,174.0,0,KIJA.JK
2026-05-15,174.0,174.0,174.0,174.0,0,KIJA.JK
2026-05-18,170.0,174.0,165.0,174.0,64138600,KIJA.JK
2026-05-19,163.0,172.0,159.0,172.0,92184800,KIJA.JK
2026-05-20,157.0,164.0,152.0,162.0,101041200,KIJA.JK
2026-05-21,134.0,159.0,134.0,159.0,142444100,KIJA.JK
2026-05-22,121.0,133.0,119.0,133.0,313114900,KIJA.JK
2026-05-25,124.0,133.0,121.0,126.0,235579800,KIJA.JK
2026-05-26,122.0,125.0,121.0,124.0,57212400,KIJA.JK
2026-05-27,122.0,122.0,122.0,122.0,0,KIJA.JK
2026-05-28,122.0,122.0,122.0,122.0,0,KIJA.JK
2026-05-29,124.0,125.0,118.0,122.0,64650500,KIJA.JK
2026-06-02,122.0,125.0,120.0,125.0,36151700,KIJA.JK
2026-06-03,119.0,123.0,112.0,123.0,110810300,KIJA.JK
2026-06-04,118.0,120.0,108.0,119.0,75729700,KIJA.JK
2026-06-05,116.0,119.0,112.0,117.0,48307300,KIJA.JK
2026-06-08,110.0,114.0,107.0,113.0,64055200,KIJA.JK
