Date,Close,High,Low,Open,Volume,ticker
2026-04-27,1000.0,1010.0,945.0,990.0,2967300,MAIN.JK
2026-04-28,1030.0,1045.0,975.0,1005.0,4897900,MAIN.JK
2026-04-29,1000.0,1030.0,995.0,1030.0,2398300,MAIN.JK
2026-04-30,855.0,1000.0,850.0,1000.0,19242100,MAIN.JK
2026-05-04,865.0,895.0,845.0,855.0,14608700,MAIN.JK
2026-05-05,855.0,875.0,835.0,870.0,4809600,MAIN.JK
2026-05-06,855.0,870.0,845.0,860.0,4135600,MAIN.JK
2026-05-07,860.0,870.0,835.0,865.0,9642900,MAIN.JK
2026-05-08,850.0,870.0,840.0,870.0,3597300,MAIN.JK
2026-05-11,830.0,850.0,825.0,850.0,4446100,MAIN.JK
2026-05-12,855.0,855.0,825.0,830.0,2079900,MAIN.JK
2026-05-13,855.0,855.0,830.0,855.0,3452700,MAIN.JK
2026-05-14,855.0,855.0,855.0,855.0,0,MAIN.JK
2026-05-15,855.0,855.0,855.0,855.0,0,MAIN.JK
2026-05-18,835.0,855.0,825.0,855.0,2937900,MAIN.JK
2026-05-19,840.0,850.0,825.0,835.0,1063900,MAIN.JK
2026-05-20,835.0,860.0,810.0,840.0,4474400,MAIN.JK
2026-05-21,825.0,840.0,810.0,835.0,2774700,MAIN.JK
2026-05-22,835.0,835.0,790.0,820.0,2568000,MAIN.JK
2026-05-25,830.0,845.0,825.0,835.0,1550900,MAIN.JK
2026-05-26,835.0,845.0,825.0,830.0,1223500,MAIN.JK
