Date,Close,High,Low,Open,Volume,ticker
2026-04-27,590.0,595.0,565.0,575.0,3089100,MTDL.JK
2026-04-28,575.0,595.0,570.0,590.0,608700,MTDL.JK
2026-04-29,575.0,585.0,570.0,575.0,544000,MTDL.JK
2026-04-30,565.0,580.0,565.0,575.0,967500,MTDL.JK
2026-05-04,560.0,575.0,555.0,565.0,1959500,MTDL.JK
2026-05-05,570.0,580.0,565.0,565.0,2303900,MTDL.JK
2026-05-06,565.0,575.0,565.0,575.0,135400,MTDL.JK
2026-05-07,565.0,575.0,565.0,570.0,632100,MTDL.JK
2026-05-08,575.0,580.0,565.0,570.0,1985700,MTDL.JK
2026-05-11,585.0,595.0,560.0,580.0,3808300,MTDL.JK
2026-05-12,575.0,595.0,560.0,590.0,2083800,MTDL.JK
2026-05-13,570.0,575.0,560.0,575.0,9570200,MTDL.JK
2026-05-14,570.0,570.0,570.0,570.0,0,MTDL.JK
2026-05-15,570.0,570.0,570.0,570.0,0,MTDL.JK
2026-05-18,560.0,575.0,555.0,570.0,1218700,MTDL.JK
2026-05-19,565.0,570.0,555.0,560.0,4010600,MTDL.JK
2026-05-20,550.0,565.0,550.0,560.0,988100,MTDL.JK
2026-05-21,550.0,560.0,545.0,550.0,10140000,MTDL.JK
2026-05-22,517.75,522.5,513.0,522.5,6486500,MTDL.JK
2026-05-25,503.5,527.25,503.5,522.5,836000,MTDL.JK
2026-05-26,513.0,522.5,503.5,508.25,2228400,MTDL.JK
2026-05-27,513.0,513.0,513.0,513.0,0,MTDL.JK
2026-05-28,513.0,513.0,513.0,513.0,0,MTDL.JK
2026-05-29,508.25,522.5,503.5,513.0,7994200,MTDL.JK
2026-06-02,498.75,508.25,494.0,503.5,3096700,MTDL.JK
2026-06-03,498.75,503.5,489.25,503.5,3805600,MTDL.JK
2026-06-04,494.0,503.5,489.25,498.75,1248200,MTDL.JK
2026-06-05,473.1000061035156,503.5000064957094,473.1000061035156,498.7500064344291,1662100,MTDL.JK
2026-06-08,463.6000061035156,484.5000063786741,459.8000060534868,484.5000063786741,1083000,MTDL.JK
2026-06-09,467.3999938964844,479.7499937352126,459.7999939957285,463.5999939461065,3370500,MTDL.JK
2026-06-10,494.0,498.75,467.4,467.4,1256500,MTDL.JK
2026-06-11,484.5,494.0,475.0,494.0,1543100,MTDL.JK
2026-06-12,508.25,522.5,484.5,484.5,3419300,MTDL.JK
2026-06-15,508.25,532.0,503.5,508.25,4234500,MTDL.JK
2026-06-17,513.0,522.5,503.5,513.0,3567300,MTDL.JK
2026-06-18,513.0,517.75,508.25,517.75,2773500,MTDL.JK
2026-06-19,505.0,515.0,500.0,505.0,3018200,MTDL.JK
2026-06-22,500.0,515.0,500.0,510.0,921800,MTDL.JK
2026-06-23,505.0,510.0,500.0,500.0,693000,MTDL.JK
2026-06-24,490.0,510.0,490.0,505.0,645600,MTDL.JK
2026-06-25,500.0,505.0,496.0,496.0,593500,MTDL.JK
2026-06-26,498.0,505.0,494.0,505.0,383200,MTDL.JK
2026-06-29,500.0,505.0,496.0,505.0,126600,MTDL.JK
2026-06-30,505.0,505.0,500.0,500.0,190500,MTDL.JK
2026-07-01,505.0,510.0,500.0,505.0,320800,MTDL.JK
2026-07-02,505.0,515.0,498.0,505.0,3482000,MTDL.JK
2026-07-03,505.0,515.0,500.0,505.0,567600,MTDL.JK
2026-07-06,510.0,510.0,500.0,500.0,100600,MTDL.JK
2026-07-07,510.0,510.0,498.0,510.0,3907000,MTDL.JK
2026-07-08,505.0,515.0,500.0,515.0,606800,MTDL.JK
2026-07-09,510.0,520.0,500.0,505.0,3732900,MTDL.JK
2026-07-10,510.0,515.0,505.0,515.0,342800,MTDL.JK
2026-07-13,505.0,515.0,505.0,510.0,439200,MTDL.JK
2026-07-14,515.0,515.0,505.0,505.0,457500,MTDL.JK
2026-07-15,515.0,525.0,510.0,515.0,1387000,MTDL.JK
2026-07-16,515.0,515.0,510.0,515.0,1638200,MTDL.JK
2026-07-17,515.0,515.0,510.0,515.0,288200,MTDL.JK
2026-07-20,520.0,520.0,510.0,515.0,1778400,MTDL.JK
2026-07-21,520.0,520.0,505.0,520.0,1808800,MTDL.JK
2026-07-22,515.0,520.0,505.0,510.0,5579300,MTDL.JK
2026-07-23,515.0,525.0,510.0,515.0,2056600,MTDL.JK
2026-07-24,510.0,515.0,510.0,515.0,753800,MTDL.JK
2026-07-27,510.0,515.0,510.0,510.0,1945800,MTDL.JK
2026-07-28,510.0,520.0,505.0,510.0,3764900,MTDL.JK
2026-07-29,510.0,515.0,505.0,515.0,390100,MTDL.JK
