Date,Close,High,Low,Open,Volume,ticker
2026-04-27,1135.0,1160.0,1120.0,1120.0,58316800,NCKL.JK
2026-04-28,1125.0,1150.0,1120.0,1140.0,33218500,NCKL.JK
2026-04-29,1105.0,1145.0,1105.0,1140.0,33527800,NCKL.JK
2026-04-30,1045.0,1120.0,1035.0,1120.0,95259600,NCKL.JK
2026-05-04,1035.0,1065.0,1020.0,1040.0,51878100,NCKL.JK
2026-05-05,1005.0,1030.0,990.0,1030.0,56437000,NCKL.JK
2026-05-06,1060.0,1070.0,1005.0,1005.0,61132400,NCKL.JK
2026-05-07,1105.0,1105.0,1040.0,1060.0,68422700,NCKL.JK
2026-05-08,1015.0,1090.0,1005.0,1090.0,57368100,NCKL.JK
2026-05-11,1050.0,1085.0,1000.0,1030.0,70908000,NCKL.JK
2026-05-12,1045.0,1060.0,1010.0,1060.0,38707400,NCKL.JK
2026-05-13,1000.0,1035.0,995.0,1025.0,52770400,NCKL.JK
2026-05-14,1000.0,1000.0,1000.0,1000.0,0,NCKL.JK
2026-05-15,1000.0,1000.0,1000.0,1000.0,0,NCKL.JK
2026-05-18,990.0,990.0,945.0,990.0,55070600,NCKL.JK
2026-05-19,870.0,1000.0,850.0,1000.0,177900900,NCKL.JK
2026-05-20,825.0,880.0,795.0,845.0,164097600,NCKL.JK
2026-05-21,815.0,840.0,790.0,830.0,89295100,NCKL.JK
2026-05-22,855.0,860.0,775.0,810.0,94721400,NCKL.JK
2026-05-25,875.0,885.0,830.0,875.0,93305600,NCKL.JK
2026-05-26,845.0,880.0,835.0,875.0,71611700,NCKL.JK
2026-05-27,845.0,845.0,845.0,845.0,0,NCKL.JK
2026-05-28,845.0,845.0,845.0,845.0,0,NCKL.JK
2026-05-29,890.0,925.0,870.0,880.0,144190800,NCKL.JK
2026-06-02,885.0,915.0,860.0,910.0,65119300,NCKL.JK
2026-06-03,840.0,880.0,820.0,875.0,74765500,NCKL.JK
2026-06-04,845.0,855.0,800.0,840.0,50895000,NCKL.JK
2026-06-05,785.0,865.0,785.0,860.0,44785000,NCKL.JK
2026-06-08,780.0,830.0,735.0,780.0,57446400,NCKL.JK
2026-06-09,820.0,825.0,765.0,785.0,50159700,NCKL.JK
2026-06-10,800.0,840.0,795.0,825.0,51542400,NCKL.JK
2026-06-11,785.0,815.0,775.0,800.0,34840500,NCKL.JK
2026-06-12,890.0,890.0,790.0,790.0,63386300,NCKL.JK
2026-06-15,905.0,945.0,905.0,915.0,88320400,NCKL.JK
2026-06-17,965.0,970.0,915.0,920.0,96082200,NCKL.JK
2026-06-18,910.0,970.0,900.0,965.0,58809200,NCKL.JK
2026-06-19,865.0,935.0,865.0,910.0,453013200,NCKL.JK
2026-06-22,890.0,895.0,845.0,855.0,82030400,NCKL.JK
