Date,Close,High,Low,Open,Volume,ticker
2026-04-27,163.0,175.0,160.0,166.0,5971300,NZIA.JK
2026-04-28,161.0,170.0,157.0,166.0,14521100,NZIA.JK
2026-04-29,163.0,171.0,160.0,162.0,7863200,NZIA.JK
2026-04-30,157.0,165.0,152.0,165.0,6812700,NZIA.JK
2026-05-04,162.0,172.0,156.0,162.0,17231100,NZIA.JK
2026-05-05,161.0,167.0,160.0,164.0,5619900,NZIA.JK
2026-05-06,163.0,169.0,160.0,160.0,5171400,NZIA.JK
2026-05-07,172.0,181.0,163.0,163.0,32431000,NZIA.JK
2026-05-08,156.0,178.0,153.0,176.0,12640300,NZIA.JK
2026-05-11,146.0,156.0,135.0,156.0,3481700,NZIA.JK
2026-05-12,191.0,197.0,145.0,146.0,168361000,NZIA.JK
2026-05-13,163.0,183.0,163.0,174.0,102712900,NZIA.JK
2026-05-14,163.0,163.0,163.0,163.0,0,NZIA.JK
2026-05-15,163.0,163.0,163.0,163.0,0,NZIA.JK
2026-05-18,152.0,160.0,148.0,160.0,13715300,NZIA.JK
2026-05-19,143.0,155.0,138.0,153.0,11313200,NZIA.JK
2026-05-20,138.0,145.0,130.0,143.0,6999300,NZIA.JK
2026-05-21,124.0,159.0,123.0,141.0,76848300,NZIA.JK
2026-05-22,117.0,124.0,111.0,120.0,8964600,NZIA.JK
2026-05-25,116.0,124.0,115.0,120.0,6297000,NZIA.JK
2026-05-26,137.0,156.0,117.0,117.0,108048300,NZIA.JK
2026-05-27,137.0,137.0,137.0,137.0,0,NZIA.JK
2026-05-28,137.0,137.0,137.0,137.0,0,NZIA.JK
2026-05-29,132.0,141.0,117.0,129.0,22377600,NZIA.JK
2026-06-02,178.0,178.0,143.0,144.0,107941400,NZIA.JK
2026-06-03,194.0,228.0,173.0,177.0,202904500,NZIA.JK
2026-06-04,258.0,258.0,165.0,208.0,244447700,NZIA.JK
2026-06-05,230.0,316.0,220.0,256.0,326743500,NZIA.JK
2026-06-08,196.0,234.0,196.0,228.0,34794000,NZIA.JK
2026-06-09,191.0,226.0,169.0,169.0,113400700,NZIA.JK
2026-06-10,177.0,194.0,166.0,188.0,29211700,NZIA.JK
2026-06-11,168.0,185.0,168.0,179.0,14796300,NZIA.JK
2026-06-12,177.0,183.0,168.0,170.0,12398000,NZIA.JK
2026-06-15,218.0,228.0,177.0,177.0,216184000,NZIA.JK
2026-06-17,186.0,260.0,186.0,222.0,327686800,NZIA.JK
2026-06-18,169.0,180.0,166.0,179.0,33348600,NZIA.JK
2026-06-19,163.0,176.0,162.0,170.0,21228300,NZIA.JK
2026-06-22,158.0,168.0,153.0,168.0,12450700,NZIA.JK
2026-06-23,152.0,168.0,147.0,157.0,21944200,NZIA.JK
2026-06-24,143.0,171.0,143.0,152.0,56530400,NZIA.JK
