Date,Close,High,Low,Open,Volume,ticker
2026-04-27,8450.0,8850.0,8425.0,8500.0,3300900,PANI.JK
2026-04-28,8550.0,8650.0,8325.0,8450.0,3043200,PANI.JK
2026-04-29,8650.0,8650.0,8500.0,8575.0,1984200,PANI.JK
2026-04-30,8450.0,8800.0,8350.0,8750.0,4052800,PANI.JK
2026-05-04,8600.0,8875.0,8550.0,8550.0,5250800,PANI.JK
2026-05-05,8650.0,8775.0,8450.0,8650.0,5448300,PANI.JK
2026-05-06,8650.0,8850.0,8650.0,8800.0,5195800,PANI.JK
2026-05-07,9225.0,9400.0,8750.0,8800.0,15578800,PANI.JK
2026-05-08,8600.0,9250.0,8275.0,9225.0,7852400,PANI.JK
2026-05-11,8700.0,8750.0,8350.0,8575.0,4691500,PANI.JK
2026-05-12,8450.0,8775.0,8375.0,8700.0,5196400,PANI.JK
2026-05-13,8350.0,8550.0,8300.0,8425.0,3748400,PANI.JK
2026-05-14,8350.0,8350.0,8350.0,8350.0,0,PANI.JK
2026-05-15,8350.0,8350.0,8350.0,8350.0,0,PANI.JK
2026-05-18,8069.10595703125,8343.905231109715,7794.306682952787,8343.905231109715,5607300,PANI.JK
2026-05-19,7744.34326171875,8069.106043661794,7619.434499432964,8069.106043661794,5644500,PANI.JK
2026-05-20,7544.4892578125,7819.288535414942,7444.562247775248,7694.379772868378,4494800,PANI.JK
2026-05-21,7494.525390625,7694.379401041667,7394.598385416666,7594.452395833333,6325400,PANI.JK
2026-05-22,7794.306640625,7794.306640625,7394.598607772436,7594.452624198718,6780800,PANI.JK
2026-05-25,7869.251953125,8069.105970982143,7744.343191964285,7794.306696428571,4494000,PANI.JK
2026-05-26,7644.416015625,8019.142290900735,7494.525505514706,7869.251780790441,4134200,PANI.JK
2026-05-27,7644.416015625,7644.416015625,7644.416015625,7644.416015625,0,PANI.JK
2026-05-28,7644.416015625,7644.416015625,7644.416015625,7644.416015625,0,PANI.JK
2026-05-29,7369.61669921875,7644.41596596928,7369.61669921875,7644.41596596928,7889100,PANI.JK
2026-06-02,7294.67138671875,7669.39765658444,7294.67138671875,7394.598392016267,4910800,PANI.JK
2026-06-03,6770.0546875,7394.598477859778,6545.218922970479,7319.653223016605,7503700,PANI.JK
2026-06-04,6445.2919921875,6845.000022710756,6195.474473110466,6795.036518895349,6187800,PANI.JK
2026-06-05,5795.7666015625,6520.2374267578125,5645.87608600485,6445.292168978987,9492500,PANI.JK
2026-06-08,5745.802734375,5920.674991508152,5396.058220108695,5595.91222826087,6540700,PANI.JK
2026-06-09,6145.51123046875,6345.365254223832,5520.967406234121,5695.839677019817,10264700,PANI.JK
2026-06-10,6320.38330078125,6320.38330078125,6045.584026834239,6170.492787719244,7619000,PANI.JK
2026-06-11,6270.419921875,6370.346932582172,5995.620642430279,6320.383427228586,5975700,PANI.JK
2026-06-12,6845.0,6845.0,6295.401459854015,6295.401459854015,5972800,PANI.JK
2026-06-15,6875.0,7250.0,6875.0,7250.0,10584400,PANI.JK
2026-06-17,6425.0,7075.0,6350.0,6925.0,9247600,PANI.JK
2026-06-18,6775.0,6850.0,6425.0,6450.0,5159700,PANI.JK
2026-06-19,6750.0,6825.0,6525.0,6800.0,3648100,PANI.JK
2026-06-22,6650.0,7000.0,6625.0,6750.0,4381700,PANI.JK
2026-06-23,6675.0,6750.0,6500.0,6675.0,2687500,PANI.JK
2026-06-24,6475.0,6775.0,6300.0,6675.0,3963300,PANI.JK
2026-06-25,6600.0,6725.0,6350.0,6450.0,3771700,PANI.JK
2026-06-26,6275.0,6675.0,6150.0,6650.0,4647300,PANI.JK
2026-06-29,6000.0,6300.0,6000.0,6275.0,1884900,PANI.JK
2026-06-30,5775.0,6150.0,5700.0,6000.0,6418800,PANI.JK
2026-07-01,5800.0,5875.0,5500.0,5750.0,4467400,PANI.JK
2026-07-02,5900.0,6125.0,5800.0,5825.0,5044900,PANI.JK
2026-07-03,5975.0,6100.0,5925.0,6000.0,2422000,PANI.JK
2026-07-06,5975.0,6050.0,5925.0,6000.0,1663800,PANI.JK
2026-07-07,6050.0,6175.0,5975.0,6000.0,3722000,PANI.JK
2026-07-08,5875.0,6100.0,5875.0,6100.0,3796600,PANI.JK
2026-07-09,5825.0,5875.0,5750.0,5875.0,2610600,PANI.JK
2026-07-10,5900.0,5950.0,5825.0,5850.0,2043900,PANI.JK
2026-07-13,5975.0,5975.0,5775.0,5850.0,2854300,PANI.JK
2026-07-14,5900.0,6175.0,5875.0,6000.0,5090700,PANI.JK
2026-07-15,6125.0,6250.0,5925.0,5925.0,6175700,PANI.JK
2026-07-16,6100.0,6225.0,6025.0,6150.0,6648500,PANI.JK
2026-07-17,6200.0,6225.0,5950.0,6150.0,5498700,PANI.JK
2026-07-20,6150.0,6400.0,6100.0,6250.0,5706400,PANI.JK
2026-07-21,6525.0,6525.0,6175.0,6175.0,7512100,PANI.JK
2026-07-22,6450.0,6625.0,6350.0,6575.0,5472500,PANI.JK
2026-07-23,6350.0,6675.0,6350.0,6500.0,6716500,PANI.JK
2026-07-24,6125.0,6350.0,6050.0,6350.0,3769100,PANI.JK
2026-07-27,6025.0,6150.0,6000.0,6125.0,2146300,PANI.JK
2026-07-28,5975.0,6075.0,5975.0,6050.0,1877200,PANI.JK
2026-07-29,5875.0,6050.0,5800.0,6000.0,2261000,PANI.JK
