Date,Close,High,Low,Open,Volume,ticker
2026-04-27,755.0,760.0,735.0,735.0,4460600,TBLA.JK
2026-04-28,750.0,765.0,745.0,760.0,2479100,TBLA.JK
2026-04-29,750.0,755.0,740.0,755.0,2659200,TBLA.JK
2026-04-30,725.0,750.0,725.0,750.0,4732500,TBLA.JK
2026-05-04,730.0,745.0,720.0,730.0,3395200,TBLA.JK
2026-05-05,725.0,735.0,720.0,725.0,1284000,TBLA.JK
2026-05-06,725.0,735.0,715.0,725.0,2364800,TBLA.JK
2026-05-07,725.0,735.0,715.0,725.0,2759700,TBLA.JK
2026-05-08,710.0,725.0,710.0,725.0,2642700,TBLA.JK
2026-05-11,700.0,715.0,695.0,710.0,4953000,TBLA.JK
2026-05-12,700.0,710.0,690.0,700.0,2052100,TBLA.JK
2026-05-13,700.0,700.0,680.0,700.0,1683600,TBLA.JK
2026-05-14,700.0,700.0,700.0,700.0,0,TBLA.JK
2026-05-15,700.0,700.0,700.0,700.0,0,TBLA.JK
2026-05-18,680.0,700.0,665.0,700.0,3143400,TBLA.JK
2026-05-19,655.0,700.0,655.0,690.0,3589900,TBLA.JK
2026-05-20,640.0,670.0,630.0,655.0,5157600,TBLA.JK
2026-05-21,625.0,635.0,615.0,635.0,4019300,TBLA.JK
2026-05-22,635.0,635.0,600.0,615.0,5607700,TBLA.JK
2026-05-25,650.0,650.0,630.0,635.0,2327300,TBLA.JK
2026-05-26,635.0,650.0,630.0,650.0,1745900,TBLA.JK
