Date,Close,High,Low,Open,Volume,ticker
2026-04-27,3750.0,3870.0,3710.0,3780.0,23475700,TINS.JK
2026-04-28,3660.0,3800.0,3640.0,3780.0,18802800,TINS.JK
2026-04-29,3630.0,3680.0,3550.0,3670.0,25459000,TINS.JK
2026-04-30,3580.0,3650.0,3380.0,3630.0,33147800,TINS.JK
2026-05-04,3800.0,3980.0,3760.0,3850.0,122037600,TINS.JK
2026-05-05,3690.0,3810.0,3650.0,3810.0,39405800,TINS.JK
2026-05-06,3890.0,3890.0,3690.0,3720.0,55980500,TINS.JK
2026-05-07,4100.0,4190.0,3980.0,3980.0,98422600,TINS.JK
2026-05-08,3490.0,4130.0,3490.0,4100.0,201589100,TINS.JK
2026-05-11,3560.0,3900.0,3250.0,3380.0,233061700,TINS.JK
2026-05-12,3640.0,3680.0,3500.0,3600.0,74021000,TINS.JK
2026-05-13,3670.0,3700.0,3560.0,3590.0,54036100,TINS.JK
2026-05-14,3670.0,3670.0,3670.0,3670.0,0,TINS.JK
2026-05-15,3670.0,3670.0,3670.0,3670.0,0,TINS.JK
2026-05-18,3410.0,3590.0,3280.0,3570.0,62998900,TINS.JK
2026-05-19,2970.0,3460.0,2900.0,3450.0,188587500,TINS.JK
2026-05-20,3060.0,3260.0,2820.0,2860.0,187368800,TINS.JK
2026-05-21,3130.0,3190.0,2980.0,3150.0,85277800,TINS.JK
2026-05-22,3580.0,3700.0,3020.0,3100.0,144846600,TINS.JK
2026-05-25,3465.6142578125,3524.1880199163734,3348.4667336047537,3494.9011388644367,58931100,TINS.JK
2026-05-26,3143.45849609375,3475.376473942158,3133.69620262762,3455.8518870098987,73333400,TINS.JK
2026-05-27,3143.45849609375,3143.45849609375,3143.45849609375,3143.45849609375,0,TINS.JK
2026-05-28,3143.45849609375,3143.45849609375,3143.45849609375,3143.45849609375,0,TINS.JK
2026-05-29,3133.6962890625,3280.1306950934577,3045.8356454439254,3192.270051474883,51626000,TINS.JK
2026-06-02,3075.12255859375,3231.319259982639,3036.073383246528,3192.270084635417,53715500,TINS.JK
2026-06-03,2782.253662109375,3114.171642852248,2626.0569652891995,3104.409349300987,108578700,TINS.JK
2026-06-04,2987.261962890625,3016.5488448797487,2587.007909039267,2811.5406709558824,82918200,TINS.JK
2026-06-05,3075.12255859375,3221.556966145833,3036.073383246528,3094.647146267361,93537000,TINS.JK
2026-06-08,2840.827392578125,3075.1224352649806,2821.3028056875537,2967.7372073668384,65447700,TINS.JK
2026-06-09,3192.27001953125,3192.27001953125,2860.3520358491014,2860.3520358491014,68749600,TINS.JK
2026-06-10,3260.606201171875,3416.802905419629,3123.93408495509,3192.2701430634825,77585500,TINS.JK
2026-06-11,3065.360107421875,3270.3682674723827,3026.310934078921,3270.3682674723827,44021500,TINS.JK
2026-06-12,3221.556884765625,3299.655233487216,3153.220829634233,3153.220829634233,42915000,TINS.JK
2026-06-15,3397.2783203125,3514.4258485991377,3338.704556169181,3367.9914382408406,56466900,TINS.JK
2026-06-17,3455.85205078125,3494.901226496293,3348.4668175648835,3436.327462923729,35062700,TINS.JK
2026-06-18,3543.712646484375,3602.286409236183,3348.4667706450155,3465.614296148631,45238600,TINS.JK
2026-06-19,3407.04052734375,3582.761815286981,3407.04052734375,3563.237227737733,30249100,TINS.JK
2026-06-22,3660.860107421875,3660.860107421875,3416.802766927083,3416.802766927083,69449200,TINS.JK
2026-06-23,3621.81103515625,3670.622504632749,3553.474977889151,3660.8602107374495,29879900,TINS.JK
2026-06-24,3490.0,3780.0,3480.0,3660.0,45028900,TINS.JK
2026-06-25,3640.0,3680.0,3400.0,3470.0,38811900,TINS.JK
2026-06-26,3450.0,3640.0,3450.0,3640.0,24181900,TINS.JK
2026-06-29,3480.0,3550.0,3420.0,3450.0,14481600,TINS.JK
2026-06-30,3270.0,3480.0,3230.0,3480.0,32574000,TINS.JK
2026-07-01,3320.0,3400.0,3220.0,3270.0,18692100,TINS.JK
2026-07-02,3350.0,3440.0,3320.0,3340.0,15267500,TINS.JK
2026-07-03,3430.0,3480.0,3400.0,3420.0,15598400,TINS.JK
2026-07-06,3420.0,3520.0,3400.0,3460.0,21126300,TINS.JK
2026-07-07,3450.0,3500.0,3400.0,3450.0,17838800,TINS.JK
2026-07-08,3300.0,3480.0,3290.0,3450.0,21580300,TINS.JK
2026-07-09,3360.0,3420.0,3260.0,3300.0,23093800,TINS.JK
2026-07-10,3470.0,3530.0,3380.0,3390.0,22230400,TINS.JK
2026-07-13,3440.0,3480.0,3370.0,3480.0,24121100,TINS.JK
2026-07-14,3480.0,3600.0,3410.0,3440.0,62190400,TINS.JK
2026-07-15,3500.0,3570.0,3460.0,3500.0,33635900,TINS.JK
2026-07-16,3570.0,3650.0,3490.0,3510.0,40766000,TINS.JK
2026-07-17,3570.0,3610.0,3510.0,3590.0,26546300,TINS.JK
2026-07-20,3570.0,3630.0,3560.0,3580.0,28770500,TINS.JK
2026-07-21,3550.0,3640.0,3540.0,3580.0,44423800,TINS.JK
2026-07-22,3620.0,3680.0,3540.0,3570.0,56029300,TINS.JK
2026-07-23,3690.0,3780.0,3630.0,3640.0,64666700,TINS.JK
2026-07-24,3430.0,3600.0,3380.0,3500.0,75535500,TINS.JK
2026-07-27,3440.0,3480.0,3400.0,3440.0,18863200,TINS.JK
2026-07-28,3460.0,3540.0,3400.0,3440.0,28571900,TINS.JK
2026-07-29,3420.0,3570.0,3420.0,3500.0,46220300,TINS.JK
2026-07-30,3560.0,3580.0,3470.0,3490.0,37198500,TINS.JK
2026-07-31,3800.0,3940.0,3590.0,3590.0,135494100,TINS.JK
2026-08-03,3750.0,3870.0,3710.0,3830.0,51389000,TINS.JK
2026-08-04,3820.0,3880.0,3750.0,3790.0,64537000,TINS.JK
2026-08-05,3880.0,4000.0,3860.0,3860.0,74756700,TINS.JK
2026-08-06,3800.0,3950.0,3780.0,3940.0,62218800,TINS.JK
2026-08-07,3860.0,3950.0,3800.0,3800.0,68559300,TINS.JK
