Date,Close,High,Low,Open,Volume,ticker
2026-04-27,580.0,585.0,575.0,585.0,4232800,TPMA.JK
2026-04-28,580.0,585.0,575.0,580.0,6749700,TPMA.JK
2026-04-29,575.0,580.0,575.0,580.0,5325700,TPMA.JK
2026-04-30,535.0,580.0,520.0,575.0,36031200,TPMA.JK
2026-05-04,540.0,565.0,520.0,530.0,14760200,TPMA.JK
2026-05-05,550.0,555.0,535.0,540.0,4119100,TPMA.JK
2026-05-06,550.0,555.0,545.0,550.0,3537600,TPMA.JK
2026-05-07,555.0,555.0,550.0,555.0,2556800,TPMA.JK
2026-05-08,555.0,565.0,545.0,555.0,4945700,TPMA.JK
2026-05-11,540.0,555.0,535.0,555.0,5774400,TPMA.JK
2026-05-12,535.0,545.0,530.0,540.0,6951300,TPMA.JK
2026-05-13,540.0,550.0,530.0,535.0,7805200,TPMA.JK
2026-05-14,540.0,540.0,540.0,540.0,0,TPMA.JK
2026-05-15,540.0,540.0,540.0,540.0,0,TPMA.JK
2026-05-18,530.0,545.0,525.0,540.0,8077800,TPMA.JK
2026-05-19,515.0,540.0,510.0,530.0,10551100,TPMA.JK
2026-05-20,500.0,515.0,496.0,515.0,19374800,TPMA.JK
2026-05-21,496.0,510.0,492.0,500.0,7831600,TPMA.JK
2026-05-22,496.0,505.0,482.0,496.0,26642900,TPMA.JK
2026-05-25,505.0,510.0,498.0,500.0,5842000,TPMA.JK
2026-05-26,496.0,510.0,494.0,505.0,11779900,TPMA.JK
2026-05-27,496.0,496.0,496.0,496.0,0,TPMA.JK
2026-05-28,496.0,496.0,496.0,496.0,0,TPMA.JK
2026-05-29,488.0,500.0,488.0,500.0,19276400,TPMA.JK
2026-06-02,438.0,468.0,436.0,468.0,14743200,TPMA.JK
2026-06-03,400.0,438.0,390.0,438.0,15322100,TPMA.JK
2026-06-04,386.0,402.0,366.0,402.0,11887200,TPMA.JK
2026-06-05,360.0,390.0,360.0,386.0,6313800,TPMA.JK
2026-06-08,330.0,360.0,330.0,360.0,11714200,TPMA.JK
2026-06-09,360.0,366.0,320.0,330.0,6209300,TPMA.JK
2026-06-10,362.0,366.0,354.0,360.0,6900600,TPMA.JK
2026-06-11,362.0,366.0,352.0,360.0,3371600,TPMA.JK
2026-06-12,382.0,386.0,364.0,364.0,3914600,TPMA.JK
2026-06-15,420.0,430.0,384.0,390.0,16277300,TPMA.JK
2026-06-17,418.0,434.0,416.0,432.0,3549600,TPMA.JK
2026-06-18,428.0,428.0,414.0,418.0,2695000,TPMA.JK
2026-06-19,434.0,438.0,424.0,424.0,2777000,TPMA.JK
2026-06-22,430.0,436.0,428.0,434.0,2274300,TPMA.JK
2026-06-23,428.0,432.0,422.0,430.0,2068500,TPMA.JK
2026-06-24,422.0,434.0,414.0,428.0,2727600,TPMA.JK
2026-06-25,432.0,432.0,420.0,422.0,1114800,TPMA.JK
2026-06-26,422.0,432.0,422.0,432.0,940500,TPMA.JK
2026-06-29,420.0,428.0,420.0,424.0,1012600,TPMA.JK
2026-06-30,418.0,420.0,416.0,420.0,1155100,TPMA.JK
2026-07-01,416.0,422.0,412.0,418.0,1683000,TPMA.JK
2026-07-02,426.0,428.0,414.0,416.0,3491500,TPMA.JK
2026-07-03,454.0,470.0,426.0,428.0,9081800,TPMA.JK
2026-07-06,442.0,458.0,442.0,456.0,6218900,TPMA.JK
2026-07-07,446.0,446.0,440.0,446.0,1114600,TPMA.JK
2026-07-08,438.0,446.0,438.0,446.0,1047200,TPMA.JK
2026-07-09,444.0,448.0,436.0,440.0,893100,TPMA.JK
2026-07-10,446.0,450.0,444.0,446.0,648500,TPMA.JK
2026-07-13,446.0,450.0,440.0,450.0,3913600,TPMA.JK
2026-07-14,444.0,448.0,442.0,448.0,2361300,TPMA.JK
2026-07-15,444.0,448.0,442.0,448.0,975800,TPMA.JK
2026-07-16,444.0,446.0,442.0,444.0,1124400,TPMA.JK
2026-07-17,446.0,448.0,444.0,444.0,571200,TPMA.JK
2026-07-20,444.0,450.0,444.0,448.0,1534800,TPMA.JK
2026-07-21,456.0,476.0,444.0,446.0,3346600,TPMA.JK
2026-07-22,456.0,460.0,450.0,458.0,1045700,TPMA.JK
2026-07-23,458.0,460.0,452.0,456.0,1162400,TPMA.JK
2026-07-24,448.0,458.0,442.0,458.0,2480500,TPMA.JK
2026-07-27,446.0,450.0,436.0,448.0,900500,TPMA.JK
2026-07-28,442.0,446.0,438.0,446.0,731000,TPMA.JK
2026-07-29,442.0,444.0,440.0,442.0,542300,TPMA.JK
2026-07-30,460.0,468.0,440.0,442.0,7919000,TPMA.JK
2026-07-31,466.0,466.0,458.0,466.0,2718400,TPMA.JK
2026-08-03,462.0,468.0,452.0,466.0,3902700,TPMA.JK
2026-08-04,462.0,466.0,458.0,462.0,1459000,TPMA.JK
